Column1,Column2,Column3,
OUD,Oracle Unified Directory,"""OUD"":""Oracle Unified Directory"" ",
OUST,Office of Underground Storage Tanks,"""OUST"":""Office of Underground Storage Tanks"" ",
OW,Office of Water,"""OW"":""Office of Water"" ",
P & M,Protective and Marine Division,"""P & M"":""Protective and Marine Division"" ",
P&ID,Process & Instrument Diagram,"""P&ID"":""Process & Instrument Diagram"" ",
P&ID,Piping & Instrumentation Diagram,"""P&ID"":""Piping & Instrumentation Diagram"" ",
P&L,Profit and Loss statement,"""P&L"":""Profit and Loss statement"" ",
P&M,Protective & Marine Division,"""P&M"":""Protective & Marine Division"" ",
P2P,Point-to-Point,"""P2P"":""Point-to-Point"" ",
P3,Paperless Purchasing Process,"""P3"":""Paperless Purchasing Process"" ",
P3,P3,"""P3"":""P3"" ",
PA,Preventive Action,"""PA"":""Preventive Action"" ",
PA,Product Availability,"""PA"":""Product Availability"" ",
Paperless Invoice Workflow ,Lotus Notes-based application ,"""Paperless Invoice Workflow "":""Lotus Notes-based application "" ",
PAS,Promotion and Advertising System,"""PAS"":""Promotion and Advertising System"" ",
PAS,Publicly Available Standards,"""PAS"":""Publicly Available Standards"" ",
PBT,Profit Before Tax,"""PBT"":""Profit Before Tax"" ",
PCD,Packaging Coatings Division,"""PCD"":""Packaging Coatings Division"" ",
PCG,Performance Coatings Group,"""PCG"":""Performance Coatings Group"" ",
PCI,Peripheral; Component Interconnect,"""PCI"":""Peripheral; Component Interconnect"" ",
PCI,Process Capability Index,"""PCI"":""Process Capability Index"" ",
PCL,Printer Control Language,"""PCL"":""Printer Control Language"" ",
PCR,Product Cost Request OR Product Change Request,"""PCR"":""Product Cost Request OR Product Change Request"" ",
PCR,Post Consumer Resin,"""PCR"":""Post Consumer Resin"" ",
PCS,Product Certification Sheet,"""PCS"":""Product Certification Sheet"" ",
PD,Oracle's acronym for Product Development,"""PD"":""Oracle's acronym for Product Development"" ",
PDCA,Plan-do-check-act,"""PDCA"":""Plan-do-check-act"" ",
PDF,Portable Document Format,"""PDF"":""Portable Document Format"" ",
PdM,Predictive Maintenance,"""PdM"":""Predictive Maintenance"" ",
PDR,Project Development Request,"""PDR"":""Project Development Request"" ",
PDS,Product Data Sheet,"""PDS"":""Product Data Sheet"" ",
PDSA,Plan Do Study Act,"""PDSA"":""Plan Do Study Act"" ",
PE,Oracle's acronym for Product Execution,"""PE"":""Oracle's acronym for Product Execution"" ",
PEL,Permissible Exposure Limit,"""PEL"":""Permissible Exposure Limit"" ",
PEN test,Penetration Test,"""PEN test"":""Penetration Test"" ",
Percy Neyman,Percy Neyman,"""Percy Neyman"":""Percy Neyman"" ",
Perfect Package Appearance,Perfect Package Appearance,"""Perfect Package Appearance"":""Perfect Package Appearance"" ",
PET,Preservative Efficacy Test,"""PET"":""Preservative Efficacy Test"" ",
PF,Product Finishes,"""PF"":""Product Finishes"" ",
PFD,Process Flow Diagram,"""PFD"":""Process Flow Diagram"" ",
PFD,Process Flow Diagram,"""PFD"":""Process Flow Diagram"" ",
PFMEA,Process Failure Mode & Effect Analysis,"""PFMEA"":""Process Failure Mode & Effect Analysis"" ",
PFP,Project Financial Planning,"""PFP"":""Project Financial Planning"" ",
PG,Port Group,"""PG"":""Port Group"" ",
PH,Physical H…,"""PH"":""Physical H…"" ",
PHA,Process Hazard Analysis,"""PHA"":""Process Hazard Analysis"" ",
PHP,Hypertext Preprocessor,"""PHP"":""Hypertext Preprocessor"" ",
Phrase,Phrase,"""Phrase"":""Phrase"" ",
Pi,Product Introduction,"""Pi"":""Product Introduction"" ",
PI1,PI1,"""PI1"":""PI1"" ",
PI2,PI2,"""PI2"":""PI2"" ",
PIC,Prior Informed Consent,"""PIC"":""Prior Informed Consent"" ",
Picking error,Picking error,"""Picking error"":""Picking error"" ",
PIDS,Product Information Data Set,"""PIDS"":""Product Information Data Set"" ",
PII,Personally Identifiable Information,"""PII"":""Personally Identifiable Information"" ",
PIM,Product Information Management,"""PIM"":""Product Information Management"" ",
PIMD,"Product Initiation, Modification, or Deletion","""PIMD"":""Product Initiation, Modification, or Deletion"" ",
PIP,Product Introduction Team,"""PIP"":""Product Introduction Team"" ",
PIT,Process Improvement Team,"""PIT"":""Process Improvement Team"" ",
PIW,Paperless Invoice Workflow ,"""PIW"":""Paperless Invoice Workflow "" ",
PJLA,Perry Johnson Laboratory Accreditation,"""PJLA"":""Perry Johnson Laboratory Accreditation"" ",
PKS,Product Kitchen Sink,"""PKS"":""Product Kitchen Sink"" ",
PLC,Programmable Logical Controller,"""PLC"":""Programmable Logical Controller"" ",
PM,Preventive Maintenance,"""PM"":""Preventive Maintenance"" ",
PMBU,Pavement Markings b u,"""PMBU"":""Pavement Markings b u"" ",
PMD,Protective & Marine Coatings Division,"""PMD"":""Protective & Marine Coatings Division"" ",
PMD,Protective & Marine Division,"""PMD"":""Protective & Marine Division"" ",
PMIS,Process Monitoring Information System,"""PMIS"":""Process Monitoring Information System"" ",
PMO,Project Management Office,"""PMO"":""Project Management Office"" ",
PNA,Program Neighborhood Agent,"""PNA"":""Program Neighborhood Agent"" ",
PNE,Paint Non-Emulsion,"""PNE"":""Paint Non-Emulsion"" ",
PNEC,Predicted No-Effect Concentrations,"""PNEC"":""Predicted No-Effect Concentrations"" ",
PNL,Profit and Loss statement,"""PNL"":""Profit and Loss statement"" ",
PNO,Paint Non-Emulsion,"""PNO"":""Paint Non-Emulsion"" ",
PNR,Problem Notification Report,"""PNR"":""Problem Notification Report"" ",
PO,Oracle's acronym for Purchase Orders,"""PO"":""Oracle's acronym for Purchase Orders"" ",
PO,Purchase Order,"""PO"":""Purchase Order"" ",
POD,Professional On Demand,"""POD"":""Professional On Demand"" ",
POI,Perfect Order Index,"""POI"":""Perfect Order Index"" ",
PONCE,Price Of Nonconformance,"""PONCE"":""Price Of Nonconformance"" ",
POP,Points on the Purchase ,"""POP"":""Points on the Purchase "" ",
Portal,Portal,"""Portal"":""Portal"" ",
Portlets,Portlets,"""Portlets"":""Portlets"" ",
POS,Point Of Sale,"""POS"":""Point Of Sale"" ",
Post Date,Post Date,"""Post Date"":""Post Date"" ",
Post-WIMP,Post-WIMP,"""Post-WIMP"":""Post-WIMP"" ",
Potential Change,Potential Change,"""Potential Change"":""Potential Change"" ",
Potential RICE,Potential RICE,"""Potential RICE"":""Potential RICE"" ",
POTW,Publicly Owned Treatment Works,"""POTW"":""Publicly Owned Treatment Works"" ",
POV,Point of View,"""POV"":""Point of View"" ",
PP,Pay Period,"""PP"":""Pay Period"" ",
PPA,Perfect Package Appearance,"""PPA"":""Perfect Package Appearance"" ",
PPA,Product Planning Analyst,"""PPA"":""Product Planning Analyst"" ",
PPAP,Production Part Approval Process,"""PPAP"":""Production Part Approval Process"" ",
ppb,Parts Per Billion,"""ppb"":""Parts Per Billion"" ",
PPE," Personal Protective Equipment: Safety glasses, shoes, lab coats, respirators, etc.","""PPE"":"" Personal Protective Equipment: Safety glasses, shoes, lab coats, respirators, etc."" ",
PPI,Personally Identifiable Information,"""PPI"":""Personally Identifiable Information"" ",
PpK,Preliminary Process Capability Index,"""PpK"":""Preliminary Process Capability Index"" ",
PPM,Product Planning Manager,"""PPM"":""Product Planning Manager"" ",
PPM,Parts Per Million,"""PPM"":""Parts Per Million"" ",
PPM,Project & Portfolio Management,"""PPM"":""Project & Portfolio Management"" ",
PPMO,Parts Per Million Opportunities,"""PPMO"":""Parts Per Million Opportunities"" ",
PPP,Paid Per Performance,"""PPP"":""Paid Per Performance"" ",
PPPR,Powdura Powder Project Request,"""PPPR"":""Powdura Powder Project Request"" ",
PPS,"Pick, Pack, Ship","""PPS"":""Pick, Pack, Ship"" ",
PPTO,Parts Per Thousand Opportunities,"""PPTO"":""Parts Per Thousand Opportunities"" ",
PPV,Purchase Price Variance,"""PPV"":""Purchase Price Variance"" ",
PQM,Plant Quality Manager,"""PQM"":""Plant Quality Manager"" ",
PQR,Product Quality Reporting,"""PQR"":""Product Quality Reporting"" ",
PRAT,Production and Reliability Acceptance Test,"""PRAT"":""Production and Reliability Acceptance Test"" ",
PRC,Price Record Card,"""PRC"":""Price Record Card"" ",
Prescient,Prescient,"""Prescient"":""Prescient"" ",
Privilege Guard,Privilege Guard,"""Privilege Guard"":""Privilege Guard"" ",
PRM,Process & Responsibility Matrix,"""PRM"":""Process & Responsibility Matrix"" ",
PRN,Print file (file extension),"""PRN"":""Print file (file extension)"" ",
PROD,Production,"""PROD"":""Production"" ",
Product Availability,Product Availability,"""Product Availability"":""Product Availability"" ",
Product Data,Product Data,"""Product Data"":""Product Data"" ",
Product Description,Product Description,"""Product Description"":""Product Description"" ",
Product Finishes,Product Finishes,"""Product Finishes"":""Product Finishes"" ",
Product recall,Product recall,"""Product recall"":""Product recall"" ",
Product Types,Product Types,"""Product Types"":""Product Types"" ",
Professional Conduct,Professional Conduct,"""Professional Conduct"":""Professional Conduct"" ",
Promotions,Promotions,"""Promotions"":""Promotions"" ",
Protective Coatings Division,Protective Coatings Division,"""Protective Coatings Division"":""Protective Coatings Division"" ",
PRPs,Potentially Responsible Parties,"""PRPs"":""Potentially Responsible Parties"" ",
PSB,Paint Sundry Brand,"""PSB"":""Paint Sundry Brand"" ",
PSD,PSD,"""PSD"":""PSD"" ",
PSG,Paint Stores Group,"""PSG"":""Paint Stores Group"" ",
PSG transactions not able to post,PSG transactions not able to post,"""PSG transactions not able to post"":""PSG transactions not able to post"" ",
PSI,Professional Services Industry,"""PSI"":""Professional Services Industry"" ",
PSIDS,Payroll Services IDs,"""PSIDS"":""Payroll Services IDs"" ",
PSM,PSM,"""PSM"":""PSM"" ",
PSN,Proper Shipping Name,"""PSN"":""Proper Shipping Name"" ",
PSP,Paint Service Provider,"""PSP"":""Paint Service Provider"" ",
PSR,Problem - Solution - Resolution app,"""PSR"":""Problem - Solution - Resolution app"" ",
PSR,Product Support Representative,"""PSR"":""Product Support Representative"" ",
PSSR,Pre Start-up Safety Review,"""PSSR"":""Pre Start-up Safety Review"" ",
PSW,Part Submission Warrant ,"""PSW"":""Part Submission Warrant "" ",
PTE,Potential to Emit,"""PTE"":""Potential to Emit"" ",
PTP,Procure to Pay,"""PTP"":""Procure to Pay"" ",
PTS,Plant Technical Services,"""PTS"":""Plant Technical Services"" ",
PUD,Pay on Live Load Pick-Ups and Live Unload Back Haul Deliveries,"""PUD"":""Pay on Live Load Pick-Ups and Live Unload Back Haul Deliveries"" ",
Purchase Closing Cost,Purchase Closing Cost,"""Purchase Closing Cost"":""Purchase Closing Cost"" ",
PV,Product Vision - The global formulation program that contains both production and experimental formulas.,"""PV"":""Product Vision - The global formulation program that contains both production and experimental formulas."" ",
PV,Production Validation,"""PV"":""Production Validation"" ",
PV5,Product Vision v5,"""PV5"":""Product Vision v5"" ",
PVC,Pigment Volume Concentration,"""PVC"":""Pigment Volume Concentration"" ",
PVC,PolyVinyl Chloride,"""PVC"":""PolyVinyl Chloride"" ",
PW,Prevailing Wage,"""PW"":""Prevailing Wage"" ",
PWCi,Proactive Work Capacity Index,"""PWCi"":""Proactive Work Capacity Index"" ",
PY,Poka Yoke (Error-Proofing),"""PY"":""Poka Yoke (Error-Proofing)"" ",
QA,Quality Assurance,"""QA"":""Quality Assurance"" ",
QA Hold,Quality Assurance Hold,"""QA Hold"":""Quality Assurance Hold"" ",
QA HOLD,Quality Assurance HOLD,"""QA HOLD"":""Quality Assurance HOLD"" ",
QAD,Queen Anne Drive,"""QAD"":""Queen Anne Drive"" ",
QAD Order,QAD Order,"""QAD Order"":""QAD Order"" ",
QAP,Quality Assurance Plan,"""QAP"":""Quality Assurance Plan"" ",
QAR,Quality Alert Record,"""QAR"":""Quality Alert Record"" ",
QC,Quality Control (Inspection & Testing),"""QC"":""Quality Control (Inspection & Testing)"" ",
QE,Quality Engineer,"""QE"":""Quality Engineer"" ",
QEDS,"Quality, Environment, Dependability, Statistics and Social Responsibility","""QEDS"":""Quality, Environment, Dependability, Statistics and Social Responsibility"" ",
QFD,Quality Function Deployment,"""QFD"":""Quality Function Deployment"" ",
QIA,Quality Index Audit,"""QIA"":""Quality Index Audit"" ",
QIL,Quality Investigative Lab,"""QIL"":""Quality Investigative Lab"" ",
QIL,Quality Investigation,"""QIL"":""Quality Investigation"" ",
QIL,Quality Improvement Laboratories,"""QIL"":""Quality Improvement Laboratories"" ",
QLA,Quality Level Agreement,"""QLA"":""Quality Level Agreement"" ",
QM ,Quality Manual,"""QM "":""Quality Manual"" ",
QMS,Quality Management System,"""QMS"":""Quality Management System"" ",
QN,Quality Notification,"""QN"":""Quality Notification"" ",
QOS,Quality Operating System,"""QOS"":""Quality Operating System"" ",
QP,Quality Plan,"""QP"":""Quality Plan"" ",
QPP/CPP,Quabec Pension Plan/Canada Pension Plan,"""QPP/CPP"":""Quabec Pension Plan/Canada Pension Plan"" ",
QRP,Quarterly Reimbursement Process,"""QRP"":""Quarterly Reimbursement Process"" ",
QS,Quest Standards,"""QS"":""Quest Standards"" ",
QS,Quality System,"""QS"":""Quality System"" ",
QSAR,Quantitative Structure-Activity Relationship,"""QSAR"":""Quantitative Structure-Activity Relationship"" ",
QSP,Quality Standards Program,"""QSP"":""Quality Standards Program"" ",
QTP,Quick Test Pro,"""QTP"":""Quick Test Pro"" ",
QTS,Quality Test System,"""QTS"":""Quality Test System"" ",
QUEST,"Quality Uniting Excellence, Service & Teamwork","""QUEST"":""Quality Uniting Excellence, Service & Teamwork"" ",
Queue,Queue,"""Queue"":""Queue"" ",
R/T,Room Temperature,"""R/T"":""Room Temperature"" ",
R4BP3,Register for Biocidal Products,"""R4BP3"":""Register for Biocidal Products"" ",
RA,Return Authorization,"""RA"":""Return Authorization"" ",
RA,Remedial Action,"""RA"":""Remedial Action"" ",
RA,Risk Analysis,"""RA"":""Risk Analysis"" ",
RAAF,Read-Across Assessment Framework,"""RAAF"":""Read-Across Assessment Framework"" ",
RAB,Registrar Accreditation Board,"""RAB"":""Registrar Accreditation Board"" ",
RAM,Responsibility & Authority Matrix,"""RAM"":""Responsibility & Authority Matrix"" ",
RAQ,Required Air Quantity,"""RAQ"":""Required Air Quantity"" ",
RAS,Reliability/Availability/Maintainability,"""RAS"":""Reliability/Availability/Maintainability"" ",
Raw material usage variance,Raw material usage variance,"""Raw material usage variance"":""Raw material usage variance"" ",
RCA,Roof Condition Assessment,"""RCA"":""Roof Condition Assessment"" ",
RCA,Root Cause Analysis,"""RCA"":""Root Cause Analysis"" ",
RCFLPT,Regulatory Certified Flash Point,"""RCFLPT"":""Regulatory Certified Flash Point"" ",
RCM,Reliability Centered Maintenance,"""RCM"":""Reliability Centered Maintenance"" ",
RCR,RCR,"""RCR"":""RCR"" ",
RCRA,Resource Conservation and Recovery Act,"""RCRA"":""Resource Conservation and Recovery Act"" ",
RDC,Regional Distribution Center,"""RDC"":""Regional Distribution Center"" ",
RDD,Regional Director of Distribution ,"""RDD"":""Regional Director of Distribution "" ",
RDI,Regulatory Data Interface,"""RDI"":""Regulatory Data Interface"" ",
RDN,Resource Discovery Network,"""RDN"":""Resource Discovery Network"" ",
RDO,Regional Director of Operations ,"""RDO"":""Regional Director of Operations "" ",
RDWY,Roadway Express,"""RDWY"":""Roadway Express"" ",
REACH,Registration Evaluation Age of Chemicals,"""REACH"":""Registration Evaluation Age of Chemicals"" ",
Readsoft- OCR,Optical Character Recognition,"""Readsoft- OCR"":""Optical Character Recognition"" ",
Recall,Recall,"""Recall"":""Recall"" ",
ReCert,Recertification,"""ReCert"":""Recertification"" ",
Recordable,Recordable,"""Recordable"":""Recordable"" ",
ref-cursor,ref-cursor,"""ref-cursor"":""ref-cursor"" ",
Reliability Excellence (Rx),A mission of the maintenance organization is to keep assets running in a safe and efficient manner that allows for the production of quality products whenever they are needed.,"""Reliability Excellence (Rx)"":""A mission of the maintenance organization is to keep assets running in a safe and efficient manner that allows for the production of quality products whenever they are needed."" ",
Reports,Reports,"""Reports"":""Reports"" ",
REST API,Representational state transfer Application Programming Interface,"""REST API"":""Representational state transfer Application Programming Interface"" ",
RET ,Reverse Engineering Team,"""RET "":""Reverse Engineering Team"" ",
RETAD,Rapid Exchange of Tooling And Dies,"""RETAD"":""Rapid Exchange of Tooling And Dies"" ",
Retain Check,Retain Check,"""Retain Check"":""Retain Check"" ",
RETL,Reddaway,"""RETL"":""Reddaway"" ",
Rework,Rework,"""Rework"":""Rework"" ",
RF,Radio Frequency,"""RF"":""Radio Frequency"" ",
RFA,RCRA Facility Assessment,"""RFA"":""RCRA Facility Assessment"" ",
RFE,Request for Evidence,"""RFE"":""Request for Evidence"" ",
RFF,Reason for Failure,"""RFF"":""Reason for Failure"" ",
RFI,RCRA Facility Investigation,"""RFI"":""RCRA Facility Investigation"" ",
RFM,Regional Facilities Manager,"""RFM"":""Regional Facilities Manager"" ",
RFO,Reason for Outage Code,"""RFO"":""Reason for Outage Code"" ",
RFP,Request for Proposal,"""RFP"":""Request for Proposal"" ",
RFQ,Request for Quotation,"""RFQ"":""Request for Quotation"" ",
RGA,Return Goods Authorization ,"""RGA"":""Return Goods Authorization "" ",
RI,Resource Interactive,"""RI"":""Resource Interactive"" ",
RICE,"Acronym for Reports, Interfaces, Conversions or Extensions","""RICE"":""Acronym for Reports, Interfaces, Conversions or Extensions"" ",
RICE,Remedial investigation,"""RICE"":""Remedial investigation"" ",
RightNow,RightNow,"""RightNow"":""RightNow"" ",
RIMS,Returns Information Management System ,"""RIMS"":""Returns Information Management System "" ",
RM,Raw Material,"""RM"":""Raw Material"" ",
RMA,Return Merchandise Authorization,"""RMA"":""Return Merchandise Authorization"" ",
RMDM,Raw Material Data Management,"""RMDM"":""Raw Material Data Management"" ",
RMIF,Raw Material Information Form,"""RMIF"":""Raw Material Information Form"" ",
RMP,Risk Management Plan,"""RMP"":""Risk Management Plan"" ",
RMS,Risk Management System,"""RMS"":""Risk Management System"" ",
RMV,Raw Material Variance,"""RMV"":""Raw Material Variance"" ",
ROI,Return On Investment,"""ROI"":""Return On Investment"" ",
RONA,Return On Net Assets,"""RONA"":""Return On Net Assets"" ",
RO ,Repair Order,"""RO "":""Repair Order"" ",
ROS,Return On Sales,"""ROS"":""Return On Sales"" ",
ROW,Rest of World,"""ROW"":""Rest of World"" ",
RPP,Registered Pension Plan,"""RPP"":""Registered Pension Plan"" ",
RQ,Reportable Quantity,"""RQ"":""Reportable Quantity"" ",
RQL,Reject Quality Level,"""RQL"":""Reject Quality Level"" ",
RRC,Retail Redistribution Center ,"""RRC"":""Retail Redistribution Center "" ",
RRSP,Registered Retirement Savings Plan,"""RRSP"":""Registered Retirement Savings Plan"" ",
RSP,Retirement Savings Plan,"""RSP"":""Retirement Savings Plan"" ",
RTC,Reactive Technology Center,"""RTC"":""Reactive Technology Center"" ",
RTF,Rich Text Format (file extension),"""RTF"":""Rich Text Format (file extension)"" ",
RTOS,Real-Time Operating System,"""RTOS"":""Real-Time Operating System"" ",
RTS,Return to Store,"""RTS"":""Return to Store"" ",
RTV,Return to Supplier,"""RTV"":""Return to Supplier"" ",
RX,Reliability Excellence,"""RX"":""Reliability Excellence"" ",
Rx,Reliability Excellence,"""Rx"":""Reliability Excellence"" ",
SaaS,Software as a Service,"""SaaS"":""Software as a Service"" ",
SAE,Society of Automotive Engineers,"""SAE"":""Society of Automotive Engineers"" ",
Safari,Safari,"""Safari"":""Safari"" ",
SAGE,Secrecy Agreement Governance & Evaluation,"""SAGE"":""Secrecy Agreement Governance & Evaluation"" ",
Sales Excellence,Sales Excellence,"""Sales Excellence"":""Sales Excellence"" ",
SalesForce.com,SalesForce.com,"""SalesForce.com"":""SalesForce.com"" ",
SAM,Sales Analysis Mart,"""SAM"":""Sales Analysis Mart"" ",
SAN,Storage Area Network,"""SAN"":""Storage Area Network"" ",
Sandbox,Sandbox,"""Sandbox"":""Sandbox"" ",
SAP CRM,SAP Customer Relationship Management ,"""SAP CRM"":""SAP Customer Relationship Management "" ",
SARA,Superfund Amendments and Reauthorization Act,"""SARA"":""Superfund Amendments and Reauthorization Act"" ",
SB,Stock Balance,"""SB"":""Stock Balance"" ",
SBR,SBR,"""SBR"":""SBR"" ",
SC,Significant Characteristic,"""SC"":""Significant Characteristic"" ",
SC,Service Center,"""SC"":""Service Center"" ",
SCAC,Standard Carrier Alpha Code ,"""SCAC"":""Standard Carrier Alpha Code "" ",
SCC,Serial Container Code ,"""SCC"":""Serial Container Code "" ",
SCE,Supply Chain Execution,"""SCE"":""Supply Chain Execution"" ",
SCIS,Supply Chain Information Services ,"""SCIS"":""Supply Chain Information Services "" ",
SCM,Supply Chain Maintenance,"""SCM"":""Supply Chain Maintenance"" ",
SCOR,Sales Call Opportunity Reporting,"""SCOR"":""Sales Call Opportunity Reporting"" ",
SCP,Supply Chain Planning,"""SCP"":""Supply Chain Planning"" ",
SCRAM,Safety Control Rod Axe Man,"""SCRAM"":""Safety Control Rod Axe Man"" ",
SDC,Stores Distribution Center ,"""SDC"":""Stores Distribution Center "" ",
SDK,Software Development Kit,"""SDK"":""Software Development Kit"" ",
SDL,Specification Design Language,"""SDL"":""Specification Design Language"" ",
SDM,Supply Data Management,"""SDM"":""Supply Data Management"" ",
SDS,Safty Data Sheet,"""SDS"":""Safty Data Sheet"" ",
SDS Pro,Safety Data Sheet Professional,"""SDS Pro"":""Safety Data Sheet Professional"" ",
SDW,Star Office (file extension),"""SDW"":""Star Office (file extension)"" ",
SDWA,Safe Drinking Water Act,"""SDWA"":""Safe Drinking Water Act"" ",
SDWT,Self Directed/managed Work Team,"""SDWT"":""Self Directed/managed Work Team"" ",
SE,Safety Evaluation,"""SE"":""Safety Evaluation"" ",
SE,Southeast ,"""SE"":""Southeast "" ",
SED,Shipper's Export Declaration,"""SED"":""Shipper's Export Declaration"" ",
SED,SouthEast Division,"""SED"":""SouthEast Division"" ",
SEFL,Southeastern Freight,"""SEFL"":""Southeastern Freight"" ",
SEKO,Seko Worldwide,"""SEKO"":""Seko Worldwide"" ",
SEM,Strategic Environmental Management,"""SEM"":""Strategic Environmental Management"" ",
SEO,Software Engine Optimizer,"""SEO"":""Software Engine Optimizer"" ",
SER,Safety Evaluation Report,"""SER"":""Safety Evaluation Report"" ",
SFTP,Secure File Transfer Protocol,"""SFTP"":""Secure File Transfer Protocol"" ",
SG,Storage Group,"""SG"":""Storage Group"" ",
SG&A,SG&A,"""SG&A"":""SG&A"" ",
SHE,Safety Health & Environment,"""SHE"":""Safety Health & Environment"" ",
SherProcure,SherProcure,"""SherProcure"":""SherProcure"" ",
Shipments,Shipments,"""Shipments"":""Shipments"" ",
Shrink Lines,Shrink Lines,"""Shrink Lines"":""Shrink Lines"" ",
SHW,Sherwin-Williams Stock Ticker,"""SHW"":""Sherwin-Williams Stock Ticker"" ",
SI ,International System of Units ,"""SI "":""International System of Units "" ",
SIC,Standard Industrial Classifications,"""SIC"":""Standard Industrial Classifications"" ",
SIEF,Substance Information Exchange Forms,"""SIEF"":""Substance Information Exchange Forms"" ",
SIP,Session Initiation Potocol,"""SIP"":""Session Initiation Potocol"" ",
SIPOC,Supplier Input Process Output Customer,"""SIPOC"":""Supplier Input Process Output Customer"" ",
SIT,Software Integrated Testing,"""SIT"":""Software Integrated Testing"" ",
Six Sigma," A business philosophy that focuses on continuous improvement by understanding customers' needs, analyzing processes, and instituting proper measurement methods. Additionally, it is a methodology that looks to improve key processes by reducing variation. ","""Six Sigma"":"" A business philosophy that focuses on continuous improvement by understanding customers' needs, analyzing processes, and instituting proper measurement methods. Additionally, it is a methodology that looks to improve key processes by reducing variation. "" ",
Skin,Skin,"""Skin"":""Skin"" ",
SKU,Stock Keeping Unit ,"""SKU"":""Stock Keeping Unit "" ",
SLA,Oracle's acronym for Sub-ledger Accounting,"""SLA"":""Oracle's acronym for Sub-ledger Accounting"" ",
SLA,Service Level Agreement,"""SLA"":""Service Level Agreement"" ",
SLA,Sub Ledger Accounting,"""SLA"":""Sub Ledger Accounting"" ",
SLAM,"Strategize, Leverage, Address, Manage","""SLAM"":""Strategize, Leverage, Address, Manage"" ",
SM,Sales & Marketing,"""SM"":""Sales & Marketing"" ",
SMART,Safety Means Awareness Responsibility Teamwork,"""SMART"":""Safety Means Awareness Responsibility Teamwork"" ",
SmartCard,SmartCard,"""SmartCard"":""SmartCard"" ",
SMB,Store Merchandise Billing,"""SMB"":""Store Merchandise Billing"" ",
SME,Small/Meduim Enterprises,"""SME"":""Small/Meduim Enterprises"" ",
SMED,Single Minute Exchange Dies ,"""SMED"":""Single Minute Exchange Dies "" ",
SMIS,Stores Management Information System,"""SMIS"":""Stores Management Information System"" ",
SMP,Standard Maintenance Process,"""SMP"":""Standard Maintenance Process"" ",
SMPO,SMPO,"""SMPO"":""SMPO"" ",
SMTP,Simple Mail Transfer Protocol,"""SMTP"":""Simple Mail Transfer Protocol"" ",
SNUR,Significant New Use Rules,"""SNUR"":""Significant New Use Rules"" ",
SOA,Service Oriented Architecture,"""SOA"":""Service Oriented Architecture"" ",
SOAP,Sale of Old Age Program,"""SOAP"":""Sale of Old Age Program"" ",
SofB,Set of Books,"""SofB"":""Set of Books"" ",
Software Utilized,Software Utilized,"""Software Utilized"":""Software Utilized"" ",
SOI,Supplier Owned Inventory,"""SOI"":""Supplier Owned Inventory"" ",
SoIP,Services over Internet Protocol,"""SoIP"":""Services over Internet Protocol"" ",
SOLAS,Safety of Life at Sea ,"""SOLAS"":""Safety of Life at Sea "" ",
SOMI,Supplier Owned Maintained Inventory,"""SOMI"":""Supplier Owned Maintained Inventory"" ",
SOP,Standard Operating Procedures,"""SOP"":""Standard Operating Procedures"" ",
SOS,Special Order SKU,"""SOS"":""Special Order SKU"" ",
SOSC,Stores Operation & Supply Chain,"""SOSC"":""Stores Operation & Supply Chain"" ",
SOW,Statement Of Work,"""SOW"":""Statement Of Work"" ",
SOX,Surbanes-Oxley Compliance,"""SOX"":""Surbanes-Oxley Compliance"" ",
Sox Site Checklist,Sox Site Checklist,"""Sox Site Checklist"":""Sox Site Checklist"" ",
SPAM,Special Products Asset Management,"""SPAM"":""Special Products Asset Management"" ",
SPC,Statistical Process Control,"""SPC"":""Statistical Process Control"" ",
SPCC,"Spill Prevention, Control and Countermeasures","""SPCC"":""Spill Prevention, Control and Countermeasures"" ",
Specialty Region,Specialty Region,"""Specialty Region"":""Specialty Region"" ",
SPEX,Commercial Export Invoice,"""SPEX"":""Commercial Export Invoice"" ",
SPI,Security Proprietary Information: ,"""SPI"":""Security Proprietary Information: "" ",
SPOC,Single Point of Contact,"""SPOC"":""Single Point of Contact"" ",
Spoiled Batch,Spoiled Batch,"""Spoiled Batch"":""Spoiled Batch"" ",
SQA,Software Quality Assurance,"""SQA"":""Software Quality Assurance"" ",
SQA,Supplier Quality Assurance,"""SQA"":""Supplier Quality Assurance"" ",
SQC,Statistical Quality Control,"""SQC"":""Statistical Quality Control"" ",
SQG,Small Quantity Generator,"""SQG"":""Small Quantity Generator"" ",
SQI,Supplier Quality Improvement,"""SQI"":""Supplier Quality Improvement"" ",
SQL,Structured Query Language,"""SQL"":""Structured Query Language"" ",
SQR,Visual SQRibe,"""SQR"":""Visual SQRibe"" ",
SR,Severity Rating ,"""SR"":""Severity Rating "" ",
SR,Supplementary Requirement,"""SR"":""Supplementary Requirement"" ",
SRD,Service Request for Development,"""SRD"":""Service Request for Development"" ",
SRDF,System Array Disaster Recovery,"""SRDF"":""System Array Disaster Recovery"" ",
SRF,Service Request Form,"""SRF"":""Service Request Form"" ",
SRM,Service Request for Maintenance,"""SRM"":""Service Request for Maintenance"" ",
SRM,Standard Reference Material,"""SRM"":""Standard Reference Material"" ",
SRP,Sales Rep Portal,"""SRP"":""Sales Rep Portal"" ",
SRS,Software Requirements Specification,"""SRS"":""Software Requirements Specification"" ",
